Elowen is a botanist studying the rare flora in a remote rainforest in Brazil. Elowen aims to collect samples of an endangered flower known for its unique properties. She observes the vibrant petals of the flower, which are in full bloom and exuding a sweet fragrance. Elowen believes the flower is currently in full bloom and ready for sampling. Suddenly, a heavy rainstorm sweeps through the rainforest, causing the petals to wilt and lose their fragrance.;Elowen notices the heavy rain starting to fall around her.;Elowen does not notice the heavy rain starting to fall around her.;Elowen decides to seek shelter until the rain passes before returning to collect her samples.;Elowen prepares to carefully collect samples of the flower's petals.;Does Elowen believe the flower is in full bloom and ready for sampling or wilted and losing its fragrance?;Does Elowen want to collect samples of the flower in full bloom or wait for it to recover after the rain?;What will Elowen do?;Elowen believes the flower is wilted and losing its fragrance.;Elowen wants to seek shelter until the rain passes before returning to collect her samples.;Elowen will seek shelter until the rain passes before returning to collect her samples.;Elowen believes the flower is in full bloom and ready for sampling.;Elowen wants to collect samples of the flower in full bloom.;Elowen will prepare to carefully collect samples of the flower's petals.;A troop of monkeys swings through the trees, chattering excitedly.;Elowen hears the monkeys chattering as they pass by.;Elowen does not hear the monkeys chattering as they pass by.;auto;0
Bastian is a botanist conducting research in a lush rainforest in Brazil. Bastian wants to collect samples of rare orchids that bloom in the region. He observes a cluster of vibrant orchids nestled among the foliage, appearing to be in full bloom. Bastian believes the orchids are healthy and thriving, ready for collection. Suddenly, a heavy rainstorm sweeps through the area, causing the orchids to wilt and droop under the weight of the water.;Bastian notices the rainstorm beginning to pour heavily.;Bastian does not notice the rainstorm beginning to pour heavily.;Bastian plans to return to the site after the storm has passed to assess the orchids.;Bastian carefully approaches the blooming orchids to collect samples.;Does Bastian believe the orchids are healthy and thriving, or do they appear wilted and drooping due to the rainstorm?;Does Bastian want to collect samples from the healthy orchids or wait until they recover from the rainstorm?;What will Bastian do?;Bastian believes the orchids are wilted and drooping due to the rainstorm.;Bastian wants to return to the site after the storm to assess the orchids.;Bastian will plan to return to the site after the storm has passed to assess the orchids.;Bastian believes the orchids are healthy and thriving.;Bastian wants to collect samples from the healthy orchids.;Bastian will carefully approach the blooming orchids to collect samples.;A troop of monkeys swings through the trees, chattering excitedly.;Bastian sees the monkeys swinging through the trees.;Bastian does not see the monkeys swinging through the trees.;auto;0
Jarek is a botanist studying rare plant species in a remote rainforest in Brazil. Jarek wants to collect samples of a unique flower that only blooms once a year. He observes the flower's vibrant petals glistening with morning dew, appearing healthy and ready for collection. Jarek believes the flower is in excellent condition for sampling. Suddenly, a heavy rainstorm sweeps through the area, causing the delicate petals to wilt and droop under the weight of the rain.;Jarek notices the rainstorm approaching and the first drops falling.;Jarek does not notice the rainstorm approaching and the first drops falling.;Jarek seeks shelter to protect himself and the flower samples he has collected.;Jarek carefully approaches the flower to collect a sample.;Does Jarek believe the flower is in excellent condition for sampling or wilted and drooping due to the rain?;Does Jarek want to collect a sample of the flower in excellent condition or protect his collected samples from the rain?;What will Jarek do?;Jarek believes the flower is wilted and drooping due to the rain.;Jarek wants to seek shelter to protect himself and the flower samples he has collected.;Jarek will seek shelter to protect himself and the flower samples he has collected.;Jarek believes the flower is in excellent condition for sampling.;Jarek wants to collect a sample of the flower in excellent condition.;Jarek will carefully approach the flower to collect a sample.;A troop of monkeys swings through the trees, chattering loudly.;Jarek hears the monkeys chattering as they pass by.;Jarek does not hear the monkeys chattering as they pass by.;auto;0
Wren is a wildlife photographer trekking through the dense jungles of Costa Rica. Wren aims to capture a stunning photograph of the elusive resplendent quetzal. As Wren peers through the foliage, he sees a flash of vibrant green feathers perched on a branch. Wren believes the resplendent quetzal is sitting calmly on the branch, showcasing its stunning plumage. Without warning, a sudden noise from a nearby fallen tree causes the bird to take flight, disappearing into the canopy.;Wren hears the loud crash of the fallen tree nearby.;Wren does not hear the loud crash of the fallen tree nearby.;Wren prepares his camera to track the bird's movement through the trees.;Wren adjusts his lens to capture the perfect shot of the quetzal.;Does Wren believe the resplendent quetzal is sitting calmly on the branch or has taken flight?;Does Wren want to capture a photograph of the calm quetzal or track it as it flies through the trees?;What will Wren do?;Wren believes the resplendent quetzal has taken flight.;Wren wants to track the bird's movement through the trees to capture a photograph.;Wren will prepare his camera to track the bird's movement through the trees.;Wren believes the resplendent quetzal is sitting calmly on the branch.;Wren wants to capture a photograph of the calm quetzal.;Wren will adjust his lens to capture the perfect shot of the quetzal.;A troop of howler monkeys begins to call loudly from a nearby tree.;Wren hears the howler monkeys calling from the trees.;Wren does not hear the howler monkeys calling from the trees.;auto;0
Zahir is a botanist researching the unique flora of a dense rainforest in Brazil. Zahir wants to discover a rare flower known to bloom only once a decade. He observes a patch of vibrant green leaves that seem to be thriving in the sunlight. Zahir believes the leaves are healthy and indicate that the rare flower might be nearby. Suddenly, a heavy rainstorm sweeps through the area, washing away the leaves and obscuring any signs of the flower's presence.;Zahir hears the sound of the heavy rainstorm approaching.;Zahir does not notice the rainstorm approaching.;Zahir plans to seek shelter and wait for the rain to stop before continuing his search.;Zahir prepares to examine the green leaves more closely for signs of the rare flower.;Does Zahir believe the leaves are healthy and indicate the presence of the rare flower, or does he think they have been washed away?;Does Zahir want to find the rare flower by examining the healthy leaves or by waiting for the rain to stop?;What will Zahir do?;Zahir believes the leaves have been washed away and obscured by the rain.;Zahir wants to seek shelter and wait for the rain to stop before continuing his search.;Zahir will seek shelter and wait for the rain to stop.;Zahir believes the leaves are healthy and indicate the presence of the rare flower.;Zahir wants to find the rare flower by examining the healthy leaves.;Zahir will prepare to examine the green leaves more closely for signs of the rare flower.;A troop of monkeys swings through the trees, chattering loudly.;Zahir notices the troop of monkeys swinging through the trees.;Zahir does not notice the troop of monkeys swinging through the trees.;auto;0
Xander is an urban gardener living in a bustling city, tending to his rooftop garden. Xander wants to harvest ripe tomatoes for a community potluck dinner happening later that evening. He inspects the tomato plants and notices that the tomatoes are plump and vibrant red. Xander believes that the tomatoes are ripe and ready to be picked. A sudden hailstorm sweeps through the city, damaging the ripe tomatoes and leaving them bruised and battered.;Xander sees the hailstorm begin to pelt the rooftop garden.;Xander does not see the hailstorm begin to pelt the rooftop garden.;Xander decides to prepare a different dish using canned ingredients he has on hand.;Xander eagerly picks the ripe tomatoes to take to the potluck.;Does Xander believe the tomatoes are ripe and ready to be picked or bruised and damaged?;Does Xander want to harvest the ripe tomatoes for the potluck or prepare a different dish using canned ingredients?;What will Xander do?;Xander believes the tomatoes are bruised and damaged.;Xander wants to prepare a different dish using canned ingredients.;Xander will decide to prepare a different dish using canned ingredients.;Xander believes the tomatoes are ripe and ready to be picked.;Xander wants to harvest the ripe tomatoes for the potluck.;Xander will eagerly pick the ripe tomatoes to take to the potluck.;A nearby street performer begins to juggle flaming torches, attracting a crowd.;Xander notices the crowd gathering around the street performer.;Xander does not notice the crowd gathering around the street performer.;auto;0
Darius is a botanist studying rare plants in a remote rainforest in Brazil. Darius wants to collect samples of a newly discovered flower that blooms only once a year. He observes the flower's petals, which are vibrant and fully open under the sunlight. Darius believes the flower is in full bloom and ready for sampling. A sudden gust of wind sweeps through the area, causing the petals to close tightly against the stem.;Darius feels the gust of wind rustling the leaves around him.;Darius does not notice the gust of wind that causes the petals to close.;Darius prepares to wait patiently for the flower to reopen before collecting samples.;Darius reaches out to carefully collect a sample of the flower.;Does Darius believe the flower is in full bloom or tightly closed?;Does Darius want to collect samples of the flower in full bloom or wait for it to reopen?;What will Darius do?;Darius believes the flower is tightly closed.;Darius wants to wait patiently for the flower to reopen before collecting samples.;Darius will prepare to wait patiently for the flower to reopen.;Darius believes the flower is in full bloom.;Darius wants to collect samples of the flower in full bloom.;Darius will reach out to carefully collect a sample of the flower.;A troop of monkeys swings through the trees, chattering excitedly.;Darius notices the monkeys swinging through the trees.;Darius does not notice the monkeys swinging through the trees.;auto;0
Darius is a mechanic working in a bustling auto repair shop in Detroit. Darius wants to fix a vintage car that a customer has brought in for restoration. He examines the engine, which appears to be in excellent condition with no visible leaks or issues. Darius believes the engine is sound and ready for repairs. Suddenly, a heavy toolbox falls from a shelf above, causing a significant dent and damage to the engine block.;Darius hears the loud crash of the toolbox hitting the ground.;Darius does not hear the loud crash of the toolbox hitting the ground.;Darius prepares to assess the damage to the engine block after the incident.;Darius begins to work on tuning the engine for optimal performance.;Does Darius believe the engine is sound and ready for repairs or damaged due to the falling toolbox?;Does Darius want to fix the engine or assess the damage caused by the falling toolbox?;What will Darius do?;Darius believes the engine is damaged due to the falling toolbox.;Darius wants to assess the damage caused by the falling toolbox.;Darius will prepare to assess the damage to the engine block after the incident.;Darius believes the engine is sound and ready for repairs.;Darius wants to fix the engine.;Darius will begin to work on tuning the engine for optimal performance.;A customer arrives at the shop to pick up their repaired vehicle.;Darius sees the customer entering the shop.;Darius does not see the customer entering the shop.;auto;0
Zuri is a wildlife photographer stationed in a remote rainforest in Brazil. Zuri wants to capture stunning images of the rare golden lion tamarin in its natural habitat. She spots a vibrant patch of yellow flowers where she believes the tamarins might gather. Zuri believes that the yellow flowers are blooming beautifully and will attract the tamarins. Suddenly, a heavy rainstorm sweeps through the area, causing the flowers to wilt and lose their vibrant color.;Zuri sees the rainstorm approaching and feels the first drops of rain.;Zuri does not see the rainstorm approaching and feels the first drops of rain.;Zuri decides to set up her camera in a sheltered area to wait for the rain to stop.;Zuri prepares to take photos of the golden lion tamarins around the blooming yellow flowers.;Does Zuri believe the yellow flowers are blooming beautifully or wilting due to the rainstorm?;Does Zuri want to photograph the golden lion tamarins around the blooming flowers or find them elsewhere due to the wilting?;What will Zuri do?;Zuri believes the yellow flowers are wilting due to the rainstorm.;Zuri wants to find the tamarins elsewhere now that the flowers are wilting.;Zuri will set up her camera in a sheltered area to wait for the rain to stop.;Zuri believes the yellow flowers are blooming beautifully.;Zuri wants to photograph the golden lion tamarins around the blooming flowers.;Zuri will prepare to take photos of the golden lion tamarins around the blooming yellow flowers.;A troop of capuchin monkeys swings through the trees nearby, creating a ruckus.;Zuri hears the commotion caused by the capuchin monkeys.;Zuri does not hear the commotion caused by the capuchin monkeys.;auto;0
Quillan is a skilled blacksmith in a bustling medieval village. Quillan wants to forge a new sword for the village's upcoming tournament. He observes the molten metal in his forge, which glows a bright orange and bubbles with heat. Quillan believes the molten metal is hot and ready for pouring into the mold. Suddenly, a sudden gust of wind knocks over a nearby barrel of water, splashing it into the forge and causing the molten metal to solidify instantly.;Quillan sees the water splash into the forge.;Quillan does not see the water splash into the forge.;Quillan prepares to break apart the solidified metal to salvage what he can.;Quillan pours the molten metal into the mold to create the sword.;Does Quillan believe the molten metal is hot and ready for pouring or solidified and unusable?;Does Quillan want to forge the sword with the hot molten metal or salvage the solidified metal?;What will Quillan do?;Quillan believes the molten metal is solidified and unusable.;Quillan wants to salvage the solidified metal.;Quillan will prepare to break apart the solidified metal to salvage what he can.;Quillan believes the molten metal is hot and ready for pouring.;Quillan wants to forge the sword with the hot molten metal.;Quillan will pour the molten metal into the mold to create the sword.;A flock of birds takes flight, creating a commotion in the village square.;Quillan notices the flock of birds taking flight.;Quillan does not notice the flock of birds taking flight.;auto;0
Malik is a wildlife photographer trekking through the dense rainforests of Madagascar. Malik wants to capture stunning photographs of the elusive aye-aye lemurs. He spots a tree with peculiar markings that seem to indicate a nesting site. Malik believes the tree is currently home to a family of aye-ayes. Suddenly, a strong gust of wind causes a branch to break, sending the nest tumbling to the forest floor.;Malik hears the sound of the branch breaking and sees the nest fall.;Malik does not hear the sound of the branch breaking or see the nest fall.;Malik decides to investigate the fallen nest for any signs of the aye-ayes.;Malik prepares to set up his camera to photograph the aye-ayes in their nest.;Does Malik believe the tree is home to a family of aye-ayes or that the nest has fallen?;Does Malik want to photograph the aye-ayes in their nest or investigate the fallen nest?;What will Malik do?;Malik believes the nest has fallen.;Malik wants to investigate the fallen nest.;Malik will investigate the fallen nest for any signs of the aye-ayes.;Malik believes the tree is home to a family of aye-ayes.;Malik wants to photograph the aye-ayes in their nest.;Malik will set up his camera to photograph the aye-ayes in their nest.;A colorful chameleon crosses Malik's path.;Malik spots the chameleon crossing his path.;Malik does not spot the chameleon crossing his path.;auto;0
Darius is a wildlife photographer on an expedition in the Amazon rainforest. Darius wants to capture a rare image of the elusive jaguar in its natural habitat. He spots a trail of paw prints leading deeper into the dense foliage. Darius believes that the paw prints indicate the presence of a jaguar nearby. Suddenly, a loud thunderclap startles the wildlife, causing the jaguar to retreat into the shadows.;Darius hears the thunderclap echoing through the trees.;Darius does not hear the thunderclap echoing through the trees.;Darius waits patiently, hoping the jaguar will return to the area.;Darius follows the paw prints deeper into the jungle, excited to find the jaguar.;Does Darius believe that the paw prints indicate the presence of a jaguar nearby or that the jaguar has retreated into the shadows?;Does Darius want to capture an image of the jaguar based on the paw prints or wait for it to return after being startled?;What will Darius do?;Darius believes that the jaguar has retreated into the shadows.;Darius wants to wait patiently for the jaguar to return to the area.;Darius will wait patiently, hoping the jaguar will return to the area.;Darius believes that the paw prints indicate the presence of a jaguar nearby.;Darius wants to capture an image of the jaguar based on the paw prints.;Darius will follow the paw prints deeper into the jungle, excited to find the jaguar.;A flock of colorful macaws suddenly flies overhead, squawking loudly.;Darius sees the flock of macaws flying overhead.;Darius does not see the flock of macaws flying overhead.;auto;0
Pranav is a wildlife photographer on a safari in the Serengeti. Pranav wants to capture stunning images of a pride of lions basking in the golden sunlight. He spots the lions resting under a large acacia tree, appearing serene and majestic. Pranav believes the lions are calm and unbothered by his presence. Suddenly, a loud thunderclap startles the lions, causing them to rise and move into the brush, agitated and alert.;Pranav hears the thunderclap echoing through the savanna.;Pranav does not hear the thunderclap echoing through the savanna.;Pranav prepares to follow the lions into the brush to capture their new behavior.;Pranav sets up his camera to photograph the calm lions resting under the tree.;Does Pranav believe the lions are calm and unbothered by his presence or agitated and alert due to the thunderclap?;Does Pranav want to capture images of the calm lions or the agitated lions moving into the brush?;What will Pranav do?;Pranav believes the lions are agitated and alert due to the thunderclap.;Pranav wants to follow the lions into the brush to capture their new behavior.;Pranav will prepare to follow the lions into the brush.;Pranav believes the lions are calm and unbothered by his presence.;Pranav wants to capture images of the calm lions.;Pranav will set up his camera to photograph the calm lions resting under the tree.;A herd of wildebeests crosses the road nearby, creating a commotion.;Pranav sees the herd of wildebeests crossing the road.;Pranav does not see the herd of wildebeests crossing the road.;auto;0
Leandro is a wildlife photographer trekking through the Amazon rainforest. Leandro wants to capture stunning images of the elusive jaguar in its natural habitat. He spots a clearing where the sunlight filters through the trees, illuminating the lush vegetation. Leandro believes the clearing is a perfect spot for observing wildlife. Suddenly, a flock of birds takes flight, startling the jaguar and causing it to retreat deeper into the jungle.;Leandro sees the flock of birds suddenly take off from the trees.;Leandro does not see the flock of birds take off from the trees.;Leandro decides to quietly follow the jaguar's tracks deeper into the jungle.;Leandro prepares his camera to capture images of the jaguar in the clearing.;Does Leandro believe the clearing is a perfect spot for observing wildlife, or does he think the jaguar has retreated deeper into the jungle?;Does Leandro want to photograph the jaguar in the clearing or follow it deeper into the jungle?;What will Leandro do?;Leandro believes the jaguar has retreated deeper into the jungle.;Leandro wants to quietly follow the jaguar's tracks deeper into the jungle.;Leandro will decide to quietly follow the jaguar's tracks deeper into the jungle.;Leandro believes the clearing is a perfect spot for observing wildlife.;Leandro wants to photograph the jaguar in the clearing.;Leandro will prepare his camera to capture images of the jaguar in the clearing.;A sudden rainstorm begins to pour down heavily on the rainforest.;Leandro notices the rain starting to pour down heavily.;Leandro does not notice the rain starting to pour down heavily.;auto;0
Yara is a wildlife photographer in the Amazon rainforest, searching for rare birds to capture on camera. Yara wants to photograph the vibrant Scarlet Macaw perched on a branch. She spots a colorful bird sitting still on a nearby tree, its feathers glistening in the sunlight. Yara believes the bird is the Scarlet Macaw she has been looking for. Suddenly, a troop of monkeys swings through the trees, startling the bird and causing it to take flight.;Yara sees the monkeys swinging through the trees.;Yara does not see the monkeys swinging through the trees.;Yara prepares to follow the bird in hopes of capturing its flight on camera.;Yara quietly sets up her camera to take the perfect shot of the Scarlet Macaw.;Does Yara believe the bird is the Scarlet Macaw or that it has flown away?;Does Yara want to photograph the Scarlet Macaw or follow the bird to capture its flight?;What will Yara do?;Yara believes the bird has flown away.;Yara wants to follow the bird to capture its flight.;Yara will prepare to follow the bird in hopes of capturing its flight on camera.;Yara believes the bird is the Scarlet Macaw.;Yara wants to photograph the Scarlet Macaw.;Yara will quietly set up her camera to take the perfect shot of the Scarlet Macaw.;A sudden rain shower begins to fall, drenching the forest.;Yara notices the rain starting to pour.;Yara does not notice the rain starting to pour.;auto;0
Caelum is a wildlife photographer on a remote island in the Galapagos. Caelum wants to capture the perfect shot of the rare blue-footed booby during its mating dance. He observes a pair of boobies on a rocky ledge, seemingly engaged in their colorful courtship display. Caelum believes the blue-footed boobies are actively dancing and performing for each other. Suddenly, a hawk swoops down, startling the birds and causing them to fly away in a flurry of feathers.;Caelum sees the hawk dive toward the boobies.;Caelum does not see the hawk dive toward the boobies.;Caelum readies his camera, hoping to catch the birds returning to the ledge.;Caelum prepares to take photographs of the dancing blue-footed boobies.;Does Caelum believe the blue-footed boobies are actively dancing or have they flown away?;Does Caelum want to capture the dance of the blue-footed boobies or wait for them to return?;What will Caelum do?;Caelum believes the blue-footed boobies have flown away.;Caelum wants to capture the dance of the blue-footed boobies as they return.;Caelum will ready his camera, hoping to catch the birds returning to the ledge.;Caelum believes the blue-footed boobies are actively dancing.;Caelum wants to capture the dance of the blue-footed boobies.;Caelum will prepare to take photographs of the dancing blue-footed boobies.;A sudden gust of wind rustles the nearby palm trees.;Caelum notices the palm trees swaying in the wind.;Caelum does not notice the palm trees swaying in the wind.;auto;0
Vesper is a botanist conducting research in a lush rainforest in Brazil. Vesper wants to collect samples of a rare flower that only blooms once a year. She observes a cluster of vibrant flowers, their petals fully open and glistening with dew. Vesper believes the flowers are in full bloom and ready for collection. Suddenly, a heavy rainstorm sweeps through the area, causing the flowers to close tightly to protect themselves from the downpour.;Vesper sees the rainstorm approaching and feels the first drops of rain.;Vesper does not notice the rainstorm approaching.;Vesper decides to wait for the rain to stop before attempting to collect the samples.;Vesper reaches for the fully bloomed flowers to collect her samples.;Does Vesper believe the flowers are in full bloom and ready for collection, or closed tightly due to the rain?;Does Vesper want to collect samples of the flowers while they are in full bloom or wait until they reopen after the rain?;What will Vesper do?;Vesper believes the flowers are closed tightly due to the rain.;Vesper wants to wait for the rain to stop before attempting to collect the samples.;Vesper will wait for the rain to stop before attempting to collect the samples.;Vesper believes the flowers are in full bloom and ready for collection.;Vesper wants to collect samples of the flowers while they are in full bloom.;Vesper will reach for the fully bloomed flowers to collect her samples.;A troop of monkeys swings through the trees, chattering excitedly.;Vesper notices the monkeys playing in the trees.;Vesper does not notice the monkeys playing in the trees.;auto;0
Nadir is a wildlife photographer exploring the dense rainforests of Costa Rica. Nadir wants to capture stunning images of the elusive jaguar in its natural habitat. He spots a clearing where the sunlight filters through the trees, creating a perfect backdrop for his photographs. Nadir believes the clearing is an ideal spot for photographing the jaguar. Suddenly, a group of tourists enters the area, startling the jaguar and causing it to flee deeper into the jungle.;Nadir sees the group of tourists approaching the clearing.;Nadir does not see the group of tourists approaching the clearing.;Nadir decides to wait quietly in hopes of the jaguar returning after the tourists leave.;Nadir sets up his camera equipment in the clearing to prepare for the jaguar's arrival.;Does Nadir believe the clearing is an ideal spot for photographing the jaguar or that it has been disturbed by the tourists?;Does Nadir want to photograph the jaguar in the ideal clearing or wait for it to return after the disturbance?;What will Nadir do?;Nadir believes the clearing has been disturbed by the tourists.;Nadir wants to wait quietly in hopes of the jaguar returning after the tourists leave.;Nadir will wait quietly in hopes of the jaguar returning after the tourists leave.;Nadir believes the clearing is an ideal spot for photographing the jaguar.;Nadir wants to photograph the jaguar in the ideal clearing.;Nadir will set up his camera equipment in the clearing to prepare for the jaguar's arrival.;A vibrant toucan lands on a nearby branch, catching Nadir's attention.;Nadir notices the vibrant toucan perched nearby.;Nadir does not notice the vibrant toucan perched nearby.;auto;0
Jarek is a wildlife photographer on an expedition in the Amazon rainforest. Jarek wants to capture images of the elusive jaguar in its natural habitat. He spots a shadow moving gracefully between the trees, which appears to be the jaguar he’s been searching for. Jarek believes that the shadow he saw is indeed the jaguar he hopes to photograph. Suddenly, a loud clap of thunder startles the animal, causing it to dash deeper into the jungle, out of sight.;Jarek hears the thunder rumbling in the distance.;Jarek does not hear the thunder rumbling in the distance.;Jarek decides to wait patiently in his hideout, hoping the jaguar will return.;Jarek prepares his camera, ready to capture the jaguar's image as it approaches.;Does Jarek believe the shadow he saw is the jaguar he hopes to photograph or that it has already fled?;Does Jarek want to photograph the jaguar or wait for it to return after being startled?;What will Jarek do?;Jarek believes the jaguar has fled deeper into the jungle.;Jarek wants to wait patiently in his hideout for the jaguar to return.;Jarek will wait patiently in his hideout, hoping the jaguar will return.;Jarek believes the shadow he saw is the jaguar he hopes to photograph.;Jarek wants to photograph the jaguar.;Jarek will prepare his camera, ready to capture the jaguar's image as it approaches.;A flock of colorful macaws flies overhead, squawking loudly.;Jarek notices the macaws flying by.;Jarek does not notice the macaws flying by.;auto;0
Wanjiru is a wildlife photographer on a safari in the Maasai Mara in Kenya. Wanjiru wants to capture stunning images of the elusive cheetahs during the golden hour. She spots a group of cheetahs resting under a tree, their fur glistening in the warm sunlight. Wanjiru believes the cheetahs are relaxed and will stay in position for her to take pictures. Suddenly, a loud noise from a nearby vehicle startles the cheetahs, causing them to sprint away into the tall grass.;Wanjiru hears the loud noise from the nearby vehicle.;Wanjiru does not hear the loud noise from the nearby vehicle.;Wanjiru prepares to follow the cheetahs into the grass to capture their movement.;Wanjiru sets up her camera to take pictures of the relaxed cheetahs.;Does Wanjiru believe the cheetahs are relaxed and staying in position or that they have sprinted away?;Does Wanjiru want to capture images of the relaxed cheetahs or follow them into the grass to photograph their movement?;What will Wanjiru do?;Wanjiru believes the cheetahs have sprinted away.;Wanjiru wants to follow the cheetahs into the grass to capture their movement.;Wanjiru will prepare to follow the cheetahs into the grass to capture their movement.;Wanjiru believes the cheetahs are relaxed and staying in position.;Wanjiru wants to capture images of the relaxed cheetahs.;Wanjiru will set up her camera to take pictures of the relaxed cheetahs.;A herd of wildebeests crosses the road nearby.;Wanjiru notices the herd of wildebeests crossing the road.;Wanjiru does not notice the;auto;0
Omari is a wildlife photographer stationed in a remote rainforest in Madagascar. Omari wants to capture stunning images of the elusive aye-aye lemur in its natural habitat. He spots a tree with a hollow trunk, which appears to be a prime location for the lemurs to nest. Omari believes the hollow tree is currently unoccupied and perfect for waiting. Suddenly, a strong wind blows through the forest, causing a branch to snap and fall, startling the aye-aye that had been resting inside the hollow trunk.;Omari hears the loud crack of the branch breaking and the rustle of leaves.;Omari does not hear the loud crack of the branch breaking and the rustle of leaves.;Omari prepares to reposition himself to follow the aye-aye as it scurries away.;Omari sets up his camera and waits patiently by the hollow tree for the aye-aye to appear.;Does Omari believe the hollow tree is unoccupied and perfect for waiting, or does he know the aye-aye has already left?;Does Omari want to capture images of the aye-aye in the hollow tree or follow it as it scurries away?;What will Omari do?;Omari believes the aye-aye has already left the hollow tree.;Omari wants to follow the aye-aye as it scurries away.;Omari will prepare to reposition himself to follow the aye-aye.;Omari believes the hollow tree is unoccupied and perfect for waiting.;Omari wants to capture images of the aye-aye in the hollow tree.;Omari will set up his camera and wait patiently by the hollow tree for the aye-aye to appear.;A colorful chameleon crosses Omari's path, catching his attention.;Omari notices the chameleon moving across the forest floor.;Omari does not notice the ch;auto;0
Goran is a young engineer working in a bustling city skyscraper. Goran wants to complete the final adjustments on a prototype drone before the upcoming technology expo. He observes the drone on the workbench, which is fully assembled and appears to be in perfect working condition. Goran believes the drone is ready for testing and operational. Suddenly, a heavy construction beam falls from above, damaging the drone and rendering it inoperable.;Goran hears the loud crash of the falling beam.;Goran does not hear the loud crash of the falling beam.;Goran plans to assess the damage to the drone and make repairs.;Goran prepares to take the drone outside for a test flight.;Does Goran believe the drone is operational and ready for testing, or does he believe it is damaged and inoperable?;Does Goran want to test the drone now that he believes it is operational, or does he want to repair it after believing it is damaged?;What will Goran do?;Goran believes the drone is damaged and inoperable.;Goran wants to assess the damage and make repairs.;Goran will assess the damage to the drone and make repairs.;Goran believes the drone is operational and ready for testing.;Goran wants to test the drone outside.;Goran will prepare to take the drone outside for a test flight.;A street performer begins to juggle flaming torches nearby.;Goran notices the street performer juggling flaming torches.;Goran does not notice the street performer juggling flaming torches.;auto;0
Hakeem is a botanist studying rare plants in the lush rainforests of Brazil. Hakeem wants to collect samples of a unique flower that blooms only once a year. He observes a patch of vibrant flowers swaying gently in the breeze, appearing healthy and full of life. Hakeem believes the flowers are thriving and ready for sampling. Suddenly, a swarm of locusts descends upon the area, devouring the flowers and leaving them wilted and lifeless.;Hakeem sees the swarm of locusts attacking the flowers.;Hakeem does not see the swarm of locusts attacking the flowers.;Hakeem decides to search for another location where the flowers might still be intact.;Hakeem prepares to collect samples from the thriving flowers.;Does Hakeem believe the flowers are thriving and ready for sampling or wilted and lifeless due to the locusts?;Does Hakeem want to collect samples from the thriving flowers or search for another location to find them?;What will Hakeem do?;Hakeem believes the flowers are wilted and lifeless due to the locusts.;Hakeem wants to search for another location to find the flowers.;Hakeem will search for another location where the flowers might still be intact.;Hakeem believes the flowers are thriving and ready for sampling.;Hakeem wants to collect samples from the thriving flowers.;Hakeem will prepare to collect samples from the thriving flowers.;A heavy rain begins to pour, creating a symphony of sounds in the rainforest.;Hakeem hears the heavy rain starting to fall.;Hakeem does not hear the heavy rain starting to fall.;auto;0
Jarek is a wildlife photographer on a remote island in the Galapagos. Jarek wants to capture a stunning shot of the rare blue-footed booby during its mating dance. He spots a pair of the birds perched on a rocky outcrop, seemingly engaged in their courtship ritual. Jarek believes the blue-footed boobies are actively dancing and displaying for each other. Suddenly, a sudden gust of wind causes one of the birds to take flight, disrupting the moment entirely.;Jarek sees the gust of wind disturb the birds, causing one to fly away.;Jarek does not see the gust of wind disturb the birds.;Jarek prepares to wait patiently for the birds to return before taking his shot.;Jarek raises his camera, ready to capture the dance of the blue-footed boobies.;Does Jarek believe the blue-footed boobies are actively dancing or have been disrupted by the wind?;Does Jarek want to capture the dance of the blue-footed boobies or wait for them to return after being disturbed?;What will Jarek do?;Jarek believes the blue-footed boobies have been disrupted by the wind.;Jarek wants to wait patiently for the birds to return before taking his shot.;Jarek will prepare to wait patiently for the birds to return.;Jarek believes the blue-footed boobies are actively dancing.;Jarek wants to capture the dance of the blue-footed boobies.;Jarek will raise his camera, ready to capture the dance of the blue-footed boobies.;A sea lion barks loudly nearby, drawing Jarek's attention.;Jarek notices the sea lion barking nearby.;Jarek does not notice the sea lion barking nearby.;auto;0
Yara is a wildlife photographer stationed in the lush rainforests of Costa Rica. Yara wants to capture a photograph of a rare Scarlet Macaw in its natural habitat. She observes a vibrant tree filled with colorful flowers, which seems to be attracting many birds. Yara believes the tree is alive with activity and a perfect spot for her to wait for the macaw. Suddenly, a strong gust of wind blows through the forest, scattering the flowers and sending the birds flying away from the tree.;Yara sees the flowers being blown away by the wind.;Yara does not see the flowers being blown away by the wind.;Yara decides to move to a different location in hopes of finding another perch for the macaw.;Yara prepares her camera and settles down to wait for the macaw to arrive at the tree.;Does Yara believe the tree is alive with activity or empty and devoid of birds?;Does Yara want to photograph the macaw at the lively tree or explore other areas for potential sightings?;What will Yara do?;Yara believes the tree is empty and devoid of birds.;Yara wants to explore other areas for potential sightings of the macaw.;Yara will move to a different location in hopes of finding another perch for the macaw.;Yara believes the tree is alive with activity.;Yara wants to photograph the macaw at the lively tree.;Yara will prepare her camera and settle down to wait for the macaw to arrive at the tree.;A troop of howler monkeys begins to call from the treetops, creating a cacophony of sound in the rainforest.;Yara hears the howler monkeys calling from the treetops.;Yara does not hear the howler monkeys calling from the;auto;0
